"questionId","category","difficulty","questionContent","answerA","answerB","answerC","answerD","correctAnswerIndex","correctAnswerLetter","correctAnswerText","sourceFile","createdAt"
"q_28","Tổng quan An toàn thông tin","Hard","Lỗi tràn bộ đệm là lỗi trong khâu:","Kiểm thử phần mềm","Thiết kế phần mềm","Lập trình phần mềm","Quản trị phần mềm","2","C","Lập trình phần mềm","Ôn tập trắc nghiệm_1_1.docx","2026-06-13T18:59:22.785755"
"q_29","Tổng quan An toàn thông tin","Medium","Đâu là dạng lỗ hổng bảo mật thường gặp trong hệ điều hành và các phần mềm ứng dụng?","Lỗi tràn bộ đệm","Lỗi quản trị","Lỗi cấu hình","Lỗi thiết kế","0","A","Lỗi tràn bộ đệm","Ôn tập trắc nghiệm_1_1.docx","2026-06-13T18:59:22.785759"
"q_30","Tổng quan An toàn thông tin","Easy","Quản lý các bản vá và cập nhật phần mềm là phần việc thuộc lớp bảo vệ nào trong mô hình tổng thể đảm bảo an toàn hệ thống thông tin?","Lớp an ninh mạng","Lớp an ninh hệ thống","Lớp an ninh cơ quan/tổ chức","Lớp an ninh hệ điều hành và phần mềm","1","B","Lớp an ninh hệ thống","Ôn tập trắc nghiệm_1_1.docx","2026-06-13T18:59:22.785762"
"q_31","Tổng quan An toàn thông tin","Medium","Khi khai thác lỗi tràn bộ đệm, tin tặc thường chèn mã độc, gây tràn và ghi đè để sửa đổi thành phần nào sau đây của bộ nhớ Ngăn xếp để chuyển hướng nhằm thực hiện mã độc của mình:","Các biển đầu vào của hàm","Bộ đệm hoặc biển cục bộ của hàm","Con trỏ khung ngăn xếp (sfp)","Địa chỉ trở về của hàm","3","D","Địa chỉ trở về của hàm","Ôn tập trắc nghiệm_1_1.docx","2026-06-13T18:59:22.785765"
"q_32","Tổng quan An toàn thông tin","Medium","Một trong các mối đe dọa an toàn thông tin thường gặp là:","Phần mềm nghe lén","Phần mềm quảng cáo","Phần mềm phá mã","Phần mềm độc hại","3","D","Phần mềm độc hại","Ôn tập trắc nghiệm_1_1.docx","2026-06-13T18:59:22.785768"
"q_33","Tổng quan An toàn thông tin","Easy","Trong các vùng hạ tầng CNTT, vùng nào có nhiều mối đe dọa nguy cơ nhất?","vùng người dùng","vùng máy trạm","vùng mạng LAN","vùng mạng LAN-to-WAN","0","A","vùng người dùng","Ôn tập trắc nghiệm_1_1.docx","2026-06-13T18:59:22.785771"
"q_34","Tổng quan An toàn thông tin","Medium","Trong các vùng hạ tầng CNTT, vùng nào có các lỗ hổng trong quản lý phần mềm ứng dụng của máy chủ?","vùng máy trạm","vùng mạng LAN-to-WAN","vùng truy nhập từ xa","vùng hệ thống và ứng dụng","3","D","vùng hệ thống và ứng dụng","Ôn tập trắc nghiệm_1_1.docx","2026-06-13T18:59:22.785773"
"q_35","Tổng quan An toàn thông tin","Hard","Trong các vùng hạ tầng CNTT, vùng nào dễ bị tấn công DoS, DDoS nhất?","vùng người dùng","vùng mạng LAN","vùng mạng WAN","vùng mạng LAN-to-WAN","2","C","vùng mạng WAN","Ôn tập trắc nghiệm_1_1.docx","2026-06-13T18:59:22.785776"
"q_36","Tổng quan An toàn thông tin","Easy","Việc quản lý, khắc phục các lỗ hổng bảo mật và tăng cường khả năng đề kháng cho hệ thống cần được thực hiện theo nguyên tắc chung là:","Cân bằng giữa An toàn, Hữu dụng và Tin cậy","Cân bằng giữa An toàn, Rẻ tiền và Chất lượng","Cân bằng giữa An toàn, Hữu dụng và Rẻ tiền","Cân bằng giữa An toàn, Tin cậy và Rẻ tiền","0","A","Cân bằng giữa An toàn, Hữu dụng và Tin cậy","Ôn tập trắc nghiệm_1_1.docx","2026-06-13T18:59:22.785779"
"q_37","Tổng quan An toàn thông tin","Medium","Các mối nguy cơ đe dọa thường trực là:","Tin tặc và các phần mềm độc hại","Mất thông tin và các phầm mềm nghe lén.","Phần cứng và phần mềm độc hại.","Các phần mềm độc hại.","3","D","Các phần mềm độc hại.","Ôn tập trắc nghiệm_1_1.docx","2026-06-13T18:59:22.785782"
"q_38","Tổng quan An toàn thông tin","Medium","Người sử dụng hệ thống thông tin điều hành trong mô hình 4 loại hệ thống thông tin là:","Quản lý cao cấp","Giám đốc điều hành","Nhân viên","Quản lý bộ phận","1","B","Giám đốc điều hành","Ôn tập trắc nghiệm_1_1.docx","2026-06-13T18:59:22.785785"
"q_39","Tổng quan An toàn thông tin","Easy","Các phần của hệ thống thông tin dựa trên máy tính là:","Phần cứng (Hardware), phần mềm (Software), cơ sở dữ liệu (Databases), hệ thống mạng (Networks), tập các lệnh kết hợp (Procedures).","Phần cứng (Hardware), phần mềm (Software), người dùng (Actor), hệ thống mạng (Networks), tập các lệnh kết hợp (Procedures).","Phần cứng (Hardware), phần mềm (Software), dữ liệu (Data), bảo vê (Security), hệ thống mạng (Networks), tập các lệnh kết hợp (Procedures).","Phần cứng (Hardware), phần mềm (Software), cơ sở dữ liệu (Databases), mạng riêng ảo (VPN), tập các lệnh kết hợp (Procedures).","0","A","Phần cứng (Hardware), phần mềm (Software), cơ sở dữ liệu (Databases), hệ thống mạng (Networks), tập các lệnh kết hợp (Procedures).","Ôn tập trắc nghiệm_1_1.docx","2026-06-13T18:59:22.785788"
"q_40","Tổng quan An toàn thông tin","Medium","Công thức tính tỉ lệ tính sẵn dùng:","A = (Uptime)/(Uptime + Downtime).","A = (Uptime)/(Loadtime + Downtime).","A = (Uptime)/(Uptime + Downtime + Loadtime).","A = (Uptime)/(Uptime + Loadtime).","0","A","A = (Uptime)/(Uptime + Downtime).","Ôn tập trắc nghiệm_1_1.docx","2026-06-13T18:59:22.785791"
"q_41","Tổng quan An toàn thông tin","Medium","Các bước thực thi quản lí ATTT: (PDCA)","Lập kế hoạch (Plan), Thực thi kế hoạch (Do), Giám sát kết quả thực hiện (Monitor), Thực hiện các kiểm soát (Control).","Lập kế hoạch (Plan), Thực thi kế hoạch (Do), Thực hiện kiểm tra (Check), Hành động (Act).","Lập kế hoạch (Plan), Thực thi kế hoạch (Do), Giám sát kết quả thực hiện (Monitor), Thực hiện kiểm tra (Check).","Lập kế hoạch (Plan), Thực thi kế hoạch (Do), Thực hiện kiểm tra (Check), Thực hiện các kiểm soát (Control).","1","B","Lập kế hoạch (Plan), Thực thi kế hoạch (Do), Thực hiện kiểm tra (Check), Hành động (Act).","Ôn tập trắc nghiệm_1_1.docx","2026-06-13T18:59:22.785794"
"q_42","Tổng quan An toàn thông tin","Easy","Chính sách an toàn thông tin không bao gồm:","Chính sách an toàn ở mức người dùng (User security policy).","Chính sách an toàn ở mức vật lý (Physical security policy)","Chính sách an toàn ở mức tổ chức (Organizational security policy)","Chính sách an toàn ở mức logic (Logical security policy)","1","B","Chính sách an toàn ở mức vật lý (Physical security policy)","Ôn tập trắc nghiệm_1_1.docx","2026-06-13T18:59:22.785797"
"q_43","Tổng quan An toàn thông tin","Medium","Tính toàn vẹn liên quan đến … và … của dữ liệu.","tính hợp lệ (validity) … sự chính xác (accuracy).","tính hợp lệ (validity) … sự chính xác (rigorous).","sự hợp pháp (legalization) … sự chính xác (accuracy).","sự hợp pháp (legalization) … sự chính xác (rigorous).","0","A","tính hợp lệ (validity) … sự chính xác (accuracy).","Ôn tập trắc nghiệm_1_1.docx","2026-06-13T18:59:22.785800"
"q_44","Tổng quan An toàn thông tin","Medium","Các lớp phòng vệ điển hình để đàm bảo ATTT và an toàn HTTT:","Lớp an ninh cơ quan/tổ chức (Plant Security), Lớp an ninh mạng (Network Security), Lớp an ninh hệ thống (System Integrity).","Lớp bảo vệ vật lý (Physical Security), Lớp an ninh mạng (Network Security), Lớp an ninh hệ thống (System Integrity).","Lớp an ninh cơ quan/tổ chức (Plant Security), Lớp mạng riêng ảo (Virtual Private Network), Lớp an ninh hệ thống (System Integrity).","Lớp an ninh cơ quan/tổ chức (Plant Security), Lớp an ninh mạng (Network Security), Lớp an ninh hệ thống (System Security).","1","B","Lớp bảo vệ vật lý (Physical Security), Lớp an ninh mạng (Network Security), Lớp an ninh hệ thống (System Integrity).","Ôn tập trắc nghiệm_1_1.docx","2026-06-13T18:59:22.785803"
"q_45","Tổng quan An toàn thông tin","Easy","Các đe dọa với tầng người dùng bao gồm:","Coi nhẹ hoặc vi phạm các chính sách an ninh an toàn; đưa CD/DVD/USB với các files cá nhân vào hệ thống; thiếu ý thức về vấn đề an ninh an toàn.","Đưa CD/DVD/USB với các files cá nhân vào hệ thống; người dùng tải ảnh, âm nhạc, video; truy nhập trái phép vào máy trạm.","Coi nhẹ hoặc vi phạm các chính sách an ninh an toàn; thăm dò và rà quét trái phép các cổng dịch vụ; thiếu ý thức về vấn đề an ninh an toàn.","Đưa CD/DVD/USB với các files cá nhân vào hệ thống; người dùng tải ảnh, âm nhạc, video; nguy cơ từ người dùng giả mạo trong mạng WLAN.","0","A","Coi nhẹ hoặc vi phạm các chính sách an ninh an toàn; đưa CD/DVD/USB với các files cá nhân vào hệ thống; thiếu ý thức về vấn đề an ninh an toàn.","Ôn tập trắc nghiệm_1_1.docx","2026-06-13T18:59:22.785806"
"q_46","Tổng quan An toàn thông tin","Medium","Trong các vùng hạ tầng CNTT, vùng nào dễ bị tấn công kiểu vét cạn (brute force) nhất?","vùng người dùng","vùng hệ thống/ứng dụng","vùng truy cập từ xa","vùng mạng LAN-to-WAN.","2","C","vùng truy cập từ xa","Ôn tập trắc nghiệm_1_1.docx","2026-06-13T18:59:22.785809"
"q_47","Tổng quan An toàn thông tin","Medium","Các đe dọa với vùng máy trạm bao gồm:","Coi nhẹ hoặc vi phạm các chính sách an ninh an toàn; đưa CD/DVD/USB với các files cá nhân vào hệ thống; thiếu ý thức về vấn đề an ninh an toàn.","Đưa CD/DVD/USB với các files cá nhân vào hệ thống; người dùng tải ảnh, âm nhạc, video; truy nhập trái phép vào máy trạm.","Coi nhẹ hoặc vi phạm các chính sách an ninh an toàn; thăm dò và rà quét trái phép các cổng dịch vụ; thiếu ý thức về vấn đề an ninh an toàn.","Đưa CD/DVD/USB với các files cá nhân vào hệ thống; người dùng tải ảnh, âm nhạc, video; nguy cơ từ người dùng giả mạo trong mạng WLAN.","1","B","Đưa CD/DVD/USB với các files cá nhân vào hệ thống; người dùng tải ảnh, âm nhạc, video; truy nhập trái phép vào máy trạm.","Ôn tập trắc nghiệm_1_1.docx","2026-06-13T18:59:22.785812"
"q_48","Tổng quan An toàn thông tin","Easy","Người sử dụng Hệ thống xử lý giao dịch trong mô hình 4 loại hệ thống thông tin là:","Quản lý cao cấp","Giám đốc điều hành","Nhân viên","Quản lý bộ phận","2","C","Nhân viên","Ôn tập trắc nghiệm_1_1.docx","2026-06-13T18:59:22.785815"
"q_49","Tổng quan An toàn thông tin","Hard","Đâu là 1 lớp phòng vệ an ninh mạng:","Tường lửa, mạng riêng ảo (VPN).","Lớp chính sách & thủ tục đảm bảo ATTT.","Lớp quản trị tài khoản và phân quyền người dùng.","Lớp phát hiện và ngăn chặn phần mềm độc hại.","0","A","Tường lửa, mạng riêng ảo (VPN).","Ôn tập trắc nghiệm_1_1.docx","2026-06-13T18:59:22.785819"
"q_50","Tổng quan An toàn thông tin","Medium","Các biện pháp được sử dụng để đảm bảo an toàn máy tính và dữ liệu là:","Đảm bảo an toàn hđh, máy tính, dịch vụ; sử dụng tường lửa, proxy.","Các kỹ thuật và hệ thống pháp hiện, ngăn chặn tấn công, xâm nhập.","Vấn đề về phòng chống phần mềm độc hại, giám sát mạng.","Việc sao lưu tạo dự phòng dữ liệu, đảm bảo dữ liệu không bị mất mát khi xảy ra sự cố.","0","A","Đảm bảo an toàn hđh, máy tính, dịch vụ; sử dụng tường lửa, proxy.","Ôn tập trắc nghiệm_1_1.docx","2026-06-13T18:59:22.785822"
"q_51","Điều khiển truy cập & Xác thực","Easy","Đây là một trong các biện pháp phòng chống tấn công khai thác lỗi tràn bộ đệm?","Sử dụng tường lửa","Sử dụng công nghệ xác thực mạnh","Sử dụng các kỹ thuật mật mã","Sử dụng cơ chế cẩm thực hiện mã trong dữ liệu","3","D","Sử dụng cơ chế cẩm thực hiện mã trong dữ liệu","Ôn tập trắc nghiệm_1_1.docx","2026-06-13T18:59:22.785826"
"q_52","Điều khiển truy cập & Xác thực","Medium","Trong tấn công khai thác lỗi tràn bộ đệm, tin tặc thường sử dụng một số lệnh NOP (No Operation) ở phần đầu của mã tấn công. Mục đích của việc này là để:","Tăng khả năng phá hoại của mã tấn công","Tăng khả năng gây tràn bộ đệm","Tăng khả năng mã tấn công được thực hiện","Tăng khả năng gây lỗi chương trình","2","C","Tăng khả năng mã tấn công được thực hiện","Ôn tập trắc nghiệm_1_1.docx","2026-06-13T18:59:22.785829"
"q_53","Điều khiển truy cập & Xác thực","Medium","Tìm phát biểu đúng trong các phát biểu sau:","Điểm yếu hệ thống chỉ xuất hiện trong các mô đun phần mềm","Điểm yếu chỉ xuất hiện khi hệ thống bị tấn công","Điểm yếu hệ thống có thể xuất hiện trong cả các mô đun phần cứng và phần mềm","Điểm yếu hệ thống chỉ xuất hiện trong các mô đun phần cứng","2","C","Điểm yếu hệ thống có thể xuất hiện trong cả các mô đun phần cứng và phần mềm","Ôn tập trắc nghiệm_1_1.docx","2026-06-13T18:59:22.785832"
"q_54","Điều khiển truy cập & Xác thực","Easy","Các vùng bộ nhớ thường bị tràn gồm:","Ngăn xếp (Stack) và vùng nhớ cấp phát động (Heap)","Ngăn xếp (Stack) và Bộ nhớ đệm (Cache)","Hàng đợi (Queue) và vùng nhớ cấp phát động (Heap)","Hàng đợi (Queue) và Ngăn xếp (Stack)","0","A","Ngăn xếp (Stack) và vùng nhớ cấp phát động (Heap)","Ôn tập trắc nghiệm_1_1.docx","2026-06-13T18:59:22.785835"
"q_55","Điều khiển truy cập & Xác thực","Medium","Lỗ hổng an ninh trong một hệ thống là:","Bất kỳ điểm yếu nào trong hệ thống cho phép mối đe dọa có thể gây tác hại","Các điểm yếu trong hệ điều hành","Tất cả điểm yếu hoặc khiếm khuyết trong hệ thống","Các điểm yếu trong các phần mềm ứng dụng","0","A","Bất kỳ điểm yếu nào trong hệ thống cho phép mối đe dọa có thể gây tác hại","Ôn tập trắc nghiệm_1_1.docx","2026-06-13T18:59:22.785838"
"q_56","Điều khiển truy cập & Xác thực","Hard","Nguyên nhân của sự tồn tại các điểm yếu trong hệ thống có thể do:","Lỗi thiết kế, lỗi cài đặt và lập trình","Tất cả các khâu trong quá trình phát triển và vận hành","Lỗi quản trị","Lỗi cấu hình hoạt động","1","B","Tất cả các khâu trong quá trình phát triển và vận hành","Ôn tập trắc nghiệm_1_1.docx","2026-06-13T18:59:22.785841"
"q_57","Điều khiển truy cập & Xác thực","Easy","Trên thực tế, có thể giảm khả năng bị tấn công nếu có thể...","Triệt tiêu được hết các nguy cơ","Triệt tiêu được hết các mối đe dọa","Giảm thiểu các lỗ hổng bảo mật","Kiểm soát chặt chẽ người dùng","2","C","Giảm thiểu các lỗ hổng bảo mật","Ôn tập trắc nghiệm_1_1.docx","2026-06-13T18:59:22.785844"
